,entry_time,entry_price,entry_type,exit_time,exit_price,exit_type,quantity,profit_and_loss,profit_and_loss_percent
0,2020-01-01 09:25:00,368.9,S,2020-01-01 09:45:00,372.0,B,135.0,-418.50000000000307,-4.201680672268939
1,2020-01-01 09:45:00,372.0,B,2020-01-01 09:50:00,372.2,S,128.0,-25.599999999998545,-0.26881720430106
2,2020-01-01 09:50:00,372.2,S,2020-01-01 10:05:00,373.5,B,128.0,-166.40000000000146,-1.7463729177861518
3,2020-01-01 10:05:00,373.5,B,2020-01-01 10:10:00,374.05,S,126.0,-69.30000000000143,-0.7362784471218358
4,2020-01-01 10:10:00,374.05,S,2020-01-01 10:30:00,374.75,B,125.0,-87.49999999999858,-0.9357037829167072
5,2020-01-01 10:30:00,374.75,B,2020-01-01 10:40:00,374.35,S,124.0,49.59999999999718,0.5336891260840257
6,2020-01-01 10:40:00,374.35,S,2020-01-01 10:45:00,373.25,B,123.0,135.3000000000028,1.4692133030586652
7,2020-01-01 10:45:00,373.25,B,2020-01-01 11:00:00,373.75,S,124.0,-62.0,-0.6697923643670463
8,2020-01-01 11:00:00,373.75,S,2020-01-01 11:10:00,374.35,B,124.0,-74.40000000000282,-0.8026755852843114
9,2020-01-01 11:10:00,374.35,B,2020-01-01 11:20:00,374.3,S,122.0,6.100000000001387,0.06678242286631676
10,2020-01-01 11:20:00,374.3,S,2020-01-01 12:20:00,375.15,B,122.0,-103.69999999999584,-1.135452845311202
11,2020-01-01 12:20:00,375.15,B,2020-01-01 12:30:00,375.45,S,121.0,-36.300000000001376,-0.3998400639744254
12,2020-01-01 12:30:00,375.45,S,2020-01-01 13:00:00,376.0,B,121.0,-66.55000000000138,-0.7324543880676673
13,2020-01-01 13:00:00,376.0,B,2020-01-01 13:10:00,376.45,S,120.0,-53.999999999998636,-0.5984042553191339
14,2020-01-01 13:10:00,376.45,S,2020-01-01 13:35:00,377.75,B,119.0,-154.70000000000135,-1.7266569265506861
15,2020-01-01 13:35:00,377.75,B,2020-01-01 13:40:00,378.65,S,117.0,-105.29999999999734,-1.1912640635340532
16,2020-01-01 13:40:00,378.65,S,2020-01-01 13:55:00,378.25,B,117.0,46.79999999999734,0.5281922619833319
17,2020-01-01 13:55:00,378.25,B,2020-01-01 14:05:00,378.0,S,117.0,29.25,0.3304692663582287
